[0], [0.0, 0.0, 0.0], (1, 3.7249062557433428, 2.826065127127918), 25002.716185483943 MeV, -1
[247], [0.0, 0.0, 0.0], (1, 1.8408610733211184, 2.785349189211721), 1329.5335166437837 MeV, 1
[248], [0.0, 0.0, 0.0], (1, 1.8267373604724835, 2.430669309070444), 597.5266190656536 MeV, -1
[249], [0.0, 0.0, 0.0], (1, 5.062052864922006, 2.3918981828619783), 61.55899237248812 MeV, 1
[250], [0.0, 0.0, 0.0], (1, 1.8145587913178218, 2.416164793774504), 2389.423227005385 MeV, -1
[251], [0.0, 0.0, 0.0], (1, 6.099960865732731, 2.528721073371119), 1734.646994734101 MeV, -1
[252], [0.0, 0.0, 0.0], (1, 5.928989083072734, 2.4682016959449555), 5692.164203456838 MeV, -1
[253], [0.0, 0.0, 0.0], (1, 5.251722880655929, 2.4482731491560714), 3584.509127183183 MeV, 1
[254], [0.0, 0.0, 0.0], (1, 4.1597601513819455, 2.883004139560422), 754.8155595857997 MeV, -1
[255], [0.0, 0.0, 0.0], (1, 3.763689999736858, 2.3511410728378483), 4260.6672760970705 MeV, 1
[256], [0.0, 0.0, 0.0], (1, 2.699982158232636, 2.326305083322504), 6906.172338670829 MeV, 1
[257], [0.0, 0.0, 0.0], (1, 0.2230366899318028, 2.799072032617731), 38672.95166589796 MeV, 1
[258], [0.0, 0.0, 0.0], (1, 0.9662855903047998, 2.33985154680375), 88.69407817238559 MeV, 1
[259], [0.0, 0.0, 0.0], (1, 2.8435487173367466, 1.9392221073951847), 8048.396192239473 MeV, 1
[260], [0.0, 0.0, 0.0], (1, 1.3038539012910721, 2.785397026340079), 158.10069672998503 MeV, 1
[261], [0.0, 0.0, 0.0], (1, 1.7421736102138468, 2.4083769847336804), 5645.301466328752 MeV, -1
[262], [0.0, 0.0, 0.0], (1, 5.19164725741464, 2.491315256621729), 634.1103976390995 MeV, -1
[263], [0.0, 0.0, 0.0], (1, 5.139736380644162, 2.706307075344547), 9097.940313338577 MeV, 1
[264], [0.0, 0.0, 0.0], (1, 0.5286631063629166, 2.202307505477814), 9980.64886149728 MeV, 1
[265], [0.0, 0.0, 0.0], (1, 4.462992256418703, 1.8900993634998335), 2478.683700602426 MeV, -1
[266], [0.0, 0.0, 0.0], (1, 4.236497580489372, 2.673969854494577), 4391.029984209841 MeV, 1
[267], [0.0, 0.0, 0.0], (1, 1.233743180368199, 2.716124756378124), 2801.8926843628005 MeV, -1
[268], [0.0, 0.0, 0.0], (1, 3.655081220921609, 2.9559525163869047), 4395.559044431636 MeV, -1
[269], [0.0, 0.0, 0.0], (1, 0.26382623055515353, 2.5075401278253957), 652.2225213275749 MeV, -1
[270], [0.0, 0.0, 0.0], (1, 4.575678269910641, 2.5223016254480486), 3349.588627997393 MeV, 1
[271], [0.0, 0.0, 0.0], (1, 1.0475691253926733, 2.5172352425167346), 3050.8448976255195 MeV, 1
[272], [0.0, 0.0, 0.0], (1, 4.751936471780402, 2.880184824205644), 4687.924092623539 MeV, 1
[273], [0.0, 0.0, 0.0], (1, 5.750412882477631, 3.013587945829665), 586.8370545585174 MeV, 1
[274], [0.0, 0.0, 0.0], (1, 5.479210182729617, 2.037931591270747), 4112.274782813828 MeV, -1
[275], [0.0, 0.0, 0.0], (1, 2.5062537725612337, 1.888676395941851), 20221.448703078004 MeV, 1
[276], [0.0, 0.0, 0.0], (1, 4.3896562003376545, 2.78957822381892), 533.9075777136504 MeV, -1
[277], [0.0, 0.0, 0.0], (1, 2.1280113571346337, 2.5177053419150464), 593.1434003428957 MeV, 1
[278], [0.0, 0.0, 0.0], (1, 4.488316603768299, 2.4345418873869664), 490.5684148363446 MeV, 1
[279], [0.0, 0.0, 0.0], (1, 0.8686842428739929, 2.211344616986498), 4004.150273140513 MeV, -1
[280], [0.0, 0.0, 0.0], (1, 0.8530323755450162, 2.2500145271807783), 5318.342597215856 MeV, -1
[281], [0.0, 0.0, 0.0], (1, 4.679082067367128, 1.9418295774139267), 3964.203166258885 MeV, 1
[282], [0.0, 0.0, 0.0], (1, 2.870810384432012, 2.2141078676322263), 1683.6317937164767 MeV, 1
[283], [0.0, 0.0, 0.0], (1, 4.700508269343901, 2.3864070963639783), 942.8965936597981 MeV, -1
[284], [0.0, 0.0, 0.0], (1, 2.2440414217399294, 2.4072485002209265), 106.69289503056093 MeV, -1
[285], [0.0, 0.0, 0.0], (1, 3.8112702076444434, 2.6734149041704045), 2078.911711485382 MeV, 1
[286], [0.0, 0.0, 0.0], (1, 5.495282649893046, 2.5816588688447686), 487.75032964050786 MeV, 1
[287], [0.0, 0.0, 0.0], (1, 1.225941510466292, 2.647868899497118), 88.97127795822495 MeV, -1
[288], [0.0, 0.0, 0.0], (1, 6.078455065648978, 2.7072037100013664), 24173.53849008625 MeV, -1
[289], [0.0, 0.0, 0.0], (1, 3.195940537578883, 2.1435828934364887), 4845.6219122799275 MeV, -1
[290], [0.0, 0.0, 0.0], (1, 3.334709631501336, 2.79857955842437), 8474.516445886798 MeV, 1
[291], [0.0, 0.0, 0.0], (1, 0.7329069485312942, 2.5736790722540963), 1103.552060865922 MeV, -1
[292], [0.0, 0.0, 0.0], (1, 1.1548517341285507, 2.78886586825738), 823.9709637728249 MeV, 1
[293], [0.0, 0.0, 0.0], (1, 2.2943896982177066, 2.3167586645003504), 6772.180013254186 MeV, -1
[294], [0.0, 0.0, 0.0], (1, 1.3304908825836685, 2.4892907798201214), 1241.690111127699 MeV, 1
[295], [0.0, 0.0, 0.0], (1, 5.834497270527434, 2.3324303673179787), 411.9681431479645 MeV, -1
[296], [0.0, 0.0, 0.0], (1, 2.7429000575833413, 2.832116253333709), 2286.778954678642 MeV, 1
[297], [0.0, 0.0, 0.0], (1, 3.4017493203223097, 2.462206495669493), 18208.609847374337 MeV, -1
[298], [0.0, 0.0, 0.0], (1, 5.35519770901678, 2.1530675878365084), 2526.275957383776 MeV, -1
[299], [0.0, 0.0, 0.0], (1, 1.0285016043921011, 2.8541312795980005), 3971.890115324269 MeV, -1
[300], [0.0, 0.0, 0.0], (1, 1.552916087695161, 2.5503250946744123), 2770.749542643037 MeV, -1
[301], [0.0, 0.0, 0.0], (1, 2.080126011814265, 2.6988101026244653), 3999.9019792128347 MeV, 1
[302], [0.0, 0.0, 0.0], (1, 0.6602845039057499, 2.495868514475072), 564.1768663643735 MeV, 1
[303], [0.0, 0.0, 0.0], (1, 4.290759080894645, 2.280318648670005), 455.0926834151307 MeV, 1
[304], [0.0, 0.0, 0.0], (1, 0.7559958154392952, 2.1839043576141965), 1543.163368441512 MeV, -1
[305], [0.0, 0.0, 0.0], (1, 4.031489844280328, 2.848840250361137), 496.4930078441767 MeV, -1
[306], [0.0, 0.0, 0.0], (1, 3.0088007924976115, 2.5756879169146645), 432.16692409921205 MeV, -1
[307], [0.0, 0.0, 0.0], (1, 0.13581422509341223, 2.3491391689651326), 3616.2735741909023 MeV, -1
[308], [0.0, 0.0, 0.0], (1, 1.9818543362518852, 2.4706060818751663), 1351.9240805289537 MeV, -1
[309], [0.0, 0.0, 0.0], (1, 3.0514689658633145, 2.0913369038449545), 2209.875596620239 MeV, 1
[310], [0.0, 0.0, 0.0], (1, 3.742621261538944, 1.896827797901331), 196.92275780671233 MeV, -1
[311], [0.0, 0.0, 0.0], (1, 0.16865691372494318, 2.267941456790631), 3839.67232606849 MeV, -1
[312], [0.0, 0.0, 0.0], (1, 2.0466078005570623, 2.7870051224682992), 356.5917593597783 MeV, -1
[313], [0.0, 0.0, 0.0], (1, 5.568295622888989, 2.556868829857927), 12833.422345189558 MeV, -1
[314], [0.0, 0.0, 0.0], (1, 4.974610801165815, 2.8589638793881624), 848.2489158472714 MeV, 1
[315], [0.0, 0.0, 0.0], (1, 5.73394094324066, 2.50887245870576), 2161.905059172051 MeV, 1
[316], [0.0, 0.0, 0.0], (1, 4.8057977511022205, 2.409067762274326), 78089.31673822213 MeV, 1
[317], [0.0, 0.0, 0.0], (1, 1.1804445701680075, 2.2313774239776842), 2065.2987256714405 MeV, -1
[318], [0.0, 0.0, 0.0], (1, 1.7280297306380383, 2.005074400474258), 1755.0557774084632 MeV, -1
[319], [0.0, 0.0, 0.0], (1, 6.26694284677929, 2.814140515938023), 2988.7845965280103 MeV, -1
[320], [0.0, 0.0, 0.0], (1, 6.282865937347555, 2.890372415666827), 2187.773559248877 MeV, 1
[321], [0.0, 0.0, 0.0], (1, 3.9141099512183715, 2.398478562331854), 1408.6332618744384 MeV, 1
[322], [0.0, 0.0, 0.0], (1, 2.029814842423967, 2.788540362729158), 276.59598066268717 MeV, -1
[323], [0.0, 0.0, 0.0], (1, 6.097912763776776, 2.0038844157457305), 2200.5651795378944 MeV, -1
[324], [0.0, 0.0, 0.0], (1, 2.591975358035153, 2.5730580766659945), 7632.539197758198 MeV, 1
[325], [0.0, 0.0, 0.0], (1, 2.2900575171174644, 2.1561155139735826), 290.7196192525805 MeV, 1
[326], [0.0, 0.0, 0.0], (1, 5.331107895759523, 2.3089009708714556), 558.9881876262311 MeV, 1
[327], [0.0, 0.0, 0.0], (1, 1.5071764953502482, 2.4183569673848755), 10264.652600188003 MeV, 1
[328], [0.0, 0.0, 0.0], (1, 2.099678134034022, 2.0929908183148207), 2903.3812701163415 MeV, 1
[329], [0.0, 0.0, 0.0], (1, 1.2083506520199911, 2.82027966472559), 2125.9676245159926 MeV, -1
[330], [0.0, 0.0, 0.0], (1, 5.839179981132329, 2.4070200796468537), 6844.670460291919 MeV, -1
[331], [0.0, 0.0, 0.0], (1, 2.7520746169074553, 2.063183338313062), 305.38478616171466 MeV, 1
[332], [0.0, 0.0, 0.0], (1, 4.727555115622509, 2.9644558337054847), 2975.3170381225586 MeV, -1
[333], [0.0, 0.0, 0.0], (1, 6.280288721518712, 2.351201089862397), 1190.2567801783393 MeV, -1
[334], [0.0, 0.0, 0.0], (1, 0.7065790940805776, 2.359186142457311), 6373.804115571077 MeV, 1
[335], [0.0, 0.0, 0.0], (1, 3.264463074703241, 2.7354668538628553), 256.1371476053524 MeV, -1
[336], [0.0, 0.0, 0.0], (1, 0.7394450524610825, 2.547349761022077), 3652.5953107947785 MeV, -1
[337], [0.0, 0.0, 0.0], (1, 0.5852538995946022, 2.8989470855844495), 2048.9424191861376 MeV, 1
[338], [0.0, 0.0, 0.0], (1, 4.8735780620883915, 2.4055476156310354), 7761.400950143059 MeV, 1
[339], [0.0, 0.0, 0.0], (1, 5.476965581114937, 2.3897990326824807), 500.2963383535928 MeV, 1
[340], [0.0, 0.0, 0.0], (1, 5.546674724618008, 2.810019728287082), 2193.8343927181245 MeV, -1
[341], [0.0, 0.0, 0.0], (1, 0.35572199849468156, 1.867010795761087), 8651.55031622646 MeV, 1
[342], [0.0, 0.0, 0.0], (1, 1.50910588668454, 2.248352592401825), 11332.366320437082 MeV, 1
[343], [0.0, 0.0, 0.0], (1, 4.6850720464911975, 2.4413257249984244), 1115.4717202331049 MeV, -1
[344], [0.0, 0.0, 0.0], (1, 3.762039150526494, 3.067162013724993), 843.2426158246402 MeV, -1
[345], [0.0, 0.0, 0.0], (1, 2.137375500901104, 2.586774542850313), 2925.8318046996183 MeV, -1
[346], [0.0, 0.0, 0.0], (1, 2.6667408745208157, 2.362681812430382), 3614.062239793885 MeV, -1
[347], [0.0, 0.0, 0.0], (1, 2.752730419753565, 2.638718456213616), 145.4236998090847 MeV, 1
[348], [0.0, 0.0, 0.0], (1, 6.096865306780035, 2.854747921406208), 110.7651672434915 MeV, 1
[349], [0.0, 0.0, 0.0], (1, 5.997677245102862, 2.267818219674048), 23187.231937647557 MeV, 1
[350], [0.0, 0.0, 0.0], (1, 3.9366705987752475, 2.5387109753625903), 982.4540008278747 MeV, 1
[351], [0.0, 0.0, 0.0], (1, 5.285336416083004, 2.296681823941261), 2372.115915053662 MeV, 1
[352], [0.0, 0.0, 0.0], (1, 0.8122099373897509, 2.6234214005607797), 4238.530689903207 MeV, 1
[353], [0.0, 0.0, 0.0], (1, 4.105136714486484, 2.9396908165476954), 680.6626193479559 MeV, -1
[354], [0.0, 0.0, 0.0], (1, 4.36382286151111, 2.0727840293573037), 620.7739098474844 MeV, 1
[355], [0.0, 0.0, 0.0], (1, 0.7096018136980327, 2.4335562540046958), 9932.183236369301 MeV, -1
[356], [0.0, 0.0, 0.0], (1, 5.769020996182959, 2.7939506119043798), 650.990254645337 MeV, 1
[357], [0.0, 0.0, 0.0], (1, 3.8040237046989596, 2.5073051812979408), 1406.0976931919438 MeV, -1
[358], [0.0, 0.0, 0.0], (1, 0.9664149588928241, 2.4579366239270275), 1723.5361739128477 MeV, -1
[359], [0.0, 0.0, 0.0], (1, 2.280718882274254, 2.7855497512229155), 75.78532723664178 MeV, 1
[360], [0.0, 0.0, 0.0], (1, 3.5982180213763213, 2.9012534553086273), 4692.5051626568165 MeV, -1
[361], [0.0, 0.0, 0.0], (1, 3.2742866152567993, 2.958766799025758), 1064.772837667206 MeV, -1
[362], [0.0, 0.0, 0.0], (1, 0.6986043465683123, 2.8363755515173423), 780.627987829674 MeV, -1
[363], [0.0, 0.0, 0.0], (1, 4.823807779347133, 2.645969394616816), 22443.407617987046 MeV, 1
[364], [0.0, 0.0, 0.0], (1, 2.2480432501122642, 2.8515102077401586), 1073.7983332703104 MeV, 1
[365], [0.0, 0.0, 0.0], (1, 3.9752940858203942, 2.9029204797274892), 4123.180974115282 MeV, -1
[366], [0.0, 0.0, 0.0], (1, 1.0686601053750318, 2.3924104828775823), 21045.192942474307 MeV, 1
[367], [0.0, 0.0, 0.0], (1, 5.707543539195836, 2.5765688459464267), 1724.5389521942245 MeV, -1
[368], [0.0, 0.0, 0.0], (1, 5.185531826086372, 2.1443859728485264), 23785.22267232127 MeV, 1
[369], [0.0, 0.0, 0.0], (1, 4.257564684924359, 2.418217988330754), 2832.3861515594444 MeV, 1
[370], [0.0, 0.0, 0.0], (1, 0.26349648250236957, 1.9731747322477446), 43179.33651632483 MeV, 1
[371], [0.0, 0.0, 0.0], (1, 2.0427841571164507, 2.7667946363739935), 31.168348688704242 MeV, 1
[372], [0.0, 0.0, 0.0], (1, 2.5805009347962233, 2.71029334302899), 820.3810248551173 MeV, 1
[373], [0.0, 0.0, 0.0], (1, 2.8055653069100863, 2.492053619828017), 25970.145778996095 MeV, -1
[374], [0.0, 0.0, 0.0], (1, 3.5253605313238934, 2.797531462070631), 1215.027351040355 MeV, -1
[375], [0.0, 0.0, 0.0], (1, 4.45858346303369, 2.0683295972779545), 5807.260952400834 MeV, -1
[376], [0.0, 0.0, 0.0], (1, 0.9569941418117409, 2.715613648756362), 5073.259364354823 MeV, -1
[377], [0.0, 0.0, 0.0], (1, 2.853293950177779, 2.2903820315965304), 4859.485468166849 MeV, -1
[378], [0.0, 0.0, 0.0], (1, 3.5541461181531835, 2.860099134629036), 3453.6856827178967 MeV, -1
[379], [0.0, 0.0, 0.0], (1, 6.007407726879746, 2.4406512520005097), 1602.925089220702 MeV, -1
[380], [0.0, 0.0, 0.0], (1, 0.15373681203859046, 2.726898874726682), 8267.801053073614 MeV, 1
[381], [0.0, 0.0, 0.0], (1, 0.2659400657983948, 2.998702176835989), 5466.920826823198 MeV, 1
[382], [0.0, 0.0, 0.0], (1, 1.334319286580552, 2.335851990562099), 6145.865536401981 MeV, 1
[383], [0.0, 0.0, 0.0], (1, 2.9614123970318307, 2.3872252737725455), 805.019748426058 MeV, 1
[384], [0.0, 0.0, 0.0], (1, 2.8532434277921617, 2.3007363297368197), 11779.140300107934 MeV, 1
[385], [0.0, 0.0, 0.0], (1, 5.242687339065782, 2.5617370765691074), 3533.868541865281 MeV, 1
[386], [0.0, 0.0, 0.0], (1, 6.248610578970718, 2.989885574058854), 9544.107384845338 MeV, -1
[387], [0.0, 0.0, 0.0], (1, 5.325097354241457, 2.027352266163455), 65431.043587773216 MeV, -1
[388], [0.0, 0.0, 0.0], (1, 4.803273954172003, 2.364858226636208), 4264.238748960666 MeV, 1
[389], [0.0, 0.0, 0.0], (1, 3.0400886870273105, 2.9362839022255356), 935.4213033007444 MeV, -1
[390], [0.0, 0.0, 0.0], (1, 6.203511665764804, 2.3967628067217075), 4850.66711978848 MeV, 1
[391], [0.0, 0.0, 0.0], (1, 2.0697205871216138, 1.8556186086714592), 2920.4688097675926 MeV, 1
[392], [0.0, 0.0, 0.0], (1, 4.138330378744935, 2.2715559579884923), 23578.520033670535 MeV, -1
[393], [0.0, 0.0, 0.0], (1, 6.251964422379947, 2.6834780580056727), 415.82407361461856 MeV, 1
[394], [0.0, 0.0, 0.0], (1, 2.109277146209749, 2.5436232974024344), 1449.123614524913 MeV, -1
[395], [0.0, 0.0, 0.0], (1, 3.9776479199158636, 3.1283836945126775), 1153.0544133182952 MeV, -1
[396], [0.0, 0.0, 0.0], (1, 1.8608178573266247, 2.057774609722549), 3493.970409943852 MeV, -1
[397], [0.0, 0.0, 0.0], (1, 5.193597301397885, 2.486235039836848), 3571.382480155108 MeV, -1
[398], [0.0, 0.0, 0.0], (1, 3.529488108866114, 2.918590769263473), 1137.818780707019 MeV, 1
[399], [0.0, 0.0, 0.0], (1, 3.5430717951167114, 2.7923553326284276), 292.86035357445087 MeV, 1
[400], [0.0, 0.0, 0.0], (1, 1.7544279484633307, 2.276852570656442), 1826.831475255167 MeV, -1
[401], [0.0, 0.0, 0.0], (1, 0.21420541997772702, 2.3364866330148875), 1495.747371043785 MeV, -1
[402], [0.0, 0.0, 0.0], (1, 5.276262386188076, 2.2942345274670974), 1383.883431875836 MeV, -1
[403], [0.0, 0.0, 0.0], (1, 0.2607575608461463, 2.684577660710621), 905.464645582035 MeV, -1
[404], [0.0, 0.0, 0.0], (1, 4.681381809269955, 2.1862793820868784), 1149.1235610259916 MeV, -1
[405], [0.0, 0.0, 0.0], (1, 1.907579002260885, 2.6392418578674848), 971.8788976941728 MeV, 1
[406], [0.0, 0.0, 0.0], (1, 6.175834863892397, 2.0655256196895637), 2110.5584011206956 MeV, 1
[407], [0.0, 0.0, 0.0], (1, 1.3032267499464636, 2.0479331637625675), 3437.427558709608 MeV, 1
[408], [0.0, 0.0, 0.0], (1, 0.9576758715903075, 2.3335019062288125), 188.8549672149009 MeV, -1
[409], [0.0, 0.0, 0.0], (1, 6.096465273895944, 1.967430711711325), 5057.49841620259 MeV, 1
[410], [0.0, 0.0, 0.0], (1, 1.0490790888013857, 2.42730970849118), 5344.594417064108 MeV, -1
[411], [0.0, 0.0, 0.0], (1, 3.424798286664311, 2.2291217627097346), 70118.50353660989 MeV, -1
[412], [0.0, 0.0, 0.0], (1, 4.857458907580797, 3.019169070726588), 2960.3609206669416 MeV, -1
[413], [0.0, 0.0, 0.0], (1, 2.5537505380459145, 3.0300929011071984), 1568.983872719089 MeV, 1
[414], [0.0, 0.0, 0.0], (1, 3.3989483575818884, 2.99514065365902), 3119.014324598581 MeV, 1
[415], [0.0, 0.0, 0.0], (1, 5.971021018972278, 2.3274463307035584), 4297.858138453036 MeV, 1
[416], [0.0, 0.0, 0.0], (1, 2.7220071059652717, 2.7614571063596145), 848.0037563750648 MeV, -1
[417], [0.0, 0.0, 0.0], (1, 1.8684112796978027, 1.6199482701900572), 46292.83309268621 MeV, 1
[418], [0.0, 0.0, 0.0], (1, 5.593125565385284, 2.4484581009773683), 22810.508749895816 MeV, -1
[419], [0.0, 0.0, 0.0], (1, 2.080019874179394, 2.254522503144261), 1653.5959433618657 MeV, -1
[420], [0.0, 0.0, 0.0], (1, 4.454468229151928, 2.704613591019758), 43560.59966132696 MeV, -1
[421], [0.0, 0.0, 0.0], (1, 2.355831521442189, 2.0080502139244567), 2337.0385857519063 MeV, 1
[422], [0.0, 0.0, 0.0], (1, 2.9657680944644866, 2.334050410330557), 4457.234728460848 MeV, -1
[423], [0.0, 0.0, 0.0], (1, 1.76466802635926, 2.9572677020359723), 7240.322442861363 MeV, -1
[424], [0.0, 0.0, 0.0], (1, 5.660575049295322, 2.466863514822926), 40889.64553984218 MeV, 1
[425], [0.0, 0.0, 0.0], (1, 0.29951600584351823, 2.2610534094141164), 1235.3363245055339 MeV, 1
[426], [0.0, 0.0, 0.0], (1, 3.532451787565945, 2.695594687861326), 159.03884153075444 MeV, -1
[427], [0.0, 0.0, 0.0], (1, 0.4299999002898218, 2.5379198187275174), 749.4570928169701 MeV, 1
[428], [0.0, 0.0, 0.0], (1, 3.208767174115648, 2.417797358182125), 878.9987568810166 MeV, -1
[429], [0.0, 0.0, 0.0], (1, 0.06545604977374708, 2.981275967773528), 791.6604166814269 MeV, -1
[430], [0.0, 0.0, 0.0], (1, 2.3391646056853705, 2.9034383167699986), 435.77005559036655 MeV, -1
[431], [0.0, 0.0, 0.0], (1, 5.261394721877423, 2.3865020228029796), 2405.73447094453 MeV, 1
[432], [0.0, 0.0, 0.0], (1, 2.2576235500057003, 2.6054847006354005), 579.4593792090346 MeV, 1
[433], [0.0, 0.0, 0.0], (1, 3.9141098946403137, 2.261053301435485), 4344.532550337575 MeV, 1
[434], [0.0, 0.0, 0.0], (1, 0.06633417959384857, 1.9317115930214037), 1188.4202700813735 MeV, 1
[435], [0.0, 0.0, 0.0], (1, 4.45893971623255, 2.3526101635218266), 4829.881754953303 MeV, 1
[436], [0.0, 0.0, 0.0], (1, 3.599799615484156, 2.3396099309827307), 2314.2838698092482 MeV, -1
[437], [0.0, 0.0, 0.0], (1, 4.300248354862376, 2.7832889271097523), 5564.6171457858445 MeV, 1
[438], [0.0, 0.0, 0.0], (1, 5.536299969320753, 2.8276271295373516), 4393.194616687888 MeV, -1
[439], [0.0, 0.0, 0.0], (1, 0.4480259191220384, 2.5602877181999264), 57.25184971012312 MeV, 1
[440], [0.0, 0.0, 0.0], (1, 5.605727054673208, 2.7349222139870406), 930.329303502628 MeV, 1
[441], [0.0, 0.0, 0.0], (1, 5.451738610235063, 2.5999671854567787), 2381.711672340091 MeV, -1
[442], [0.0, 0.0, 0.0], (1, 3.8988160653500685, 2.915302205004259), 2583.702638039401 MeV, 1
[443], [0.0, 0.0, 0.0], (1, 5.245454042536622, 2.1880137728921127), 25832.657811228288 MeV, -1
[444], [0.0, 0.0, 0.0], (1, 5.265343266893594, 2.7134544895186363), 9648.407842055562 MeV, -1
[445], [0.0, 0.0, 0.0], (1, 3.5646995912827846, 2.395319018874031), 573.6548963377172 MeV, 1
[446], [0.0, 0.0, 0.0], (1, 1.3828562102173745, 2.68688325270864), 302.3693936895111 MeV, -1
[447], [0.0, 0.0, 0.0], (1, 1.2233708520359095, 2.860691215240884), 1677.0257822828473 MeV, -1
[448], [0.0, 0.0, 0.0], (1, 4.308287379726542, 2.477403941195261), 15846.564386655022 MeV, 1
[449], [0.0, 0.0, 0.0], (1, 2.18793661068133, 3.0024389106138076), 502.50434381098705 MeV, 1
[450], [0.0, 0.0, 0.0], (1, 1.1313072397557553, 2.5499991613979334), 2313.4369100383055 MeV, -1
[451], [0.0, 0.0, 0.0], (1, 5.9538431954490125, 2.710715726351425), 867.1669035174725 MeV, 1
[452], [0.0, 0.0, 0.0], (1, 3.8135824863865686, 2.8564673083844037), 1590.1910659732237 MeV, 1
[453], [0.0, 0.0, 0.0], (1, 2.395120455306497, 2.7131510747557317), 889.5440060091368 MeV, 1
[454], [0.0, 0.0, 0.0], (1, 0.10387172618373519, 2.1991085918157034), 2572.881408919945 MeV, 1
[455], [0.0, 0.0, 0.0], (1, 2.1933017168350304, 2.095438011638989), 1487.0080118720336 MeV, 1
[456], [0.0, 0.0, 0.0], (1, 5.283602011403772, 2.512081707376338), 396.3160980764079 MeV, -1
[457], [0.0, 0.0, 0.0], (1, 2.169590862177653, 2.768139121785687), 546.3327034783921 MeV, 1
[458], [0.0, 0.0, 0.0], (1, 5.448146158747685, 1.756828720207634), 209998.32779849283 MeV, 1
[459], [0.0, 0.0, 0.0], (1, 4.904361860147329, 2.5220357983893655), 1408.8094764700509 MeV, 1
[460], [0.0, 0.0, 0.0], (1, 2.508017699144961, 2.20732328528117), 3812.9222790797094 MeV, 1
[461], [0.0, 0.0, 0.0], (1, 4.929801239111244, 2.6694524582848405), 1455.7167392549818 MeV, 1
[462], [0.0, 0.0, 0.0], (1, 3.9984840503987726, 2.5431356377347054), 219.28638633841763 MeV, -1
[463], [0.0, 0.0, 0.0], (1, 3.1175723736721235, 2.4124870508945895), 468.6807512040812 MeV, -1
[464], [0.0, 0.0, 0.0], (1, 0.7161354053632447, 2.9705436404293764), 5422.746137288089 MeV, -1
[465], [0.0, 0.0, 0.0], (1, 2.527763153583649, 2.6701822810367544), 485.3426542865123 MeV, 1
[466], [0.0, 0.0, 0.0], (1, 3.2268947200835587, 2.57926487394258), 6587.236666193498 MeV, -1
[467], [0.0, 0.0, 0.0], (1, 3.3734607554173186, 2.8823500337705625), 17753.98095088631 MeV, 1
[468], [0.0, 0.0, 0.0], (1, 4.225805735909036, 2.221129890761328), 2575.9325901335515 MeV, -1
[469], [0.0, 0.0, 0.0], (1, 1.1294539178158711, 2.6380120498438755), 4616.7174883589005 MeV, 1
[470], [0.0, 0.0, 0.0], (1, 3.9819300198116325, 2.892960275610071), 4638.385969524384 MeV, -1
[471], [0.0, 0.0, 0.0], (1, 3.627159622714415, 2.8094267713270518), 10475.463414219172 MeV, 1
[472], [0.0, 0.0, 0.0], (1, 6.045072288979398, 2.501969439678112), 9231.768882620083 MeV, 1
[473], [0.0, 0.0, 0.0], (1, 5.42323447208333, 2.7034590354801873), 752.3907782897393 MeV, -1
[474], [0.0, 0.0, 0.0], (1, 6.037598179264489, 2.4644661534588903), 11694.766676062967 MeV, 1
[475], [0.0, 0.0, 0.0], (1, 5.181045039269186, 2.7752750051134933), 1383.6571180581977 MeV, 1
[476], [0.0, 0.0, 0.0], (1, 5.921611250551514, 2.36105686685126), 608.0340681722834 MeV, 1
[477], [0.0, 0.0, 0.0], (1, 2.505501445319389, 2.540246034208152), 2310.7117252099943 MeV, -1
[478], [0.0, 0.0, 0.0], (1, 0.5570784405575733, 2.6722684188533647), 4468.948659551608 MeV, -1
[479], [0.0, 0.0, 0.0], (1, 2.395816943293706, 2.951187261931673), 4335.910889764401 MeV, -1
[480], [0.0, 0.0, 0.0], (1, 5.783373442418728, 2.4737829187006852), 2655.0111442724433 MeV, 1
[481], [0.0, 0.0, 0.0], (1, 0.6616291457623689, 2.5914296912566597), 1499.8621808102944 MeV, -1
[482], [0.0, 0.0, 0.0], (1, 5.992463057212035, 2.742235780634852), 1024.1873354524002 MeV, 1
[483], [0.0, 0.0, 0.0], (1, 1.2777644158452333, 2.4747228944941497), 852.9615521797946 MeV, 1
[484], [0.0, 0.0, 0.0], (1, 5.00079560372072, 2.6564805612899907), 37851.22547174904 MeV, 1
[485], [0.0, 0.0, 0.0], (1, 0.4428475392880209, 2.8149775805651718), 246.26475679170377 MeV, 1
[486], [0.0, 0.0, 0.0], (1, 4.702274505075467, 2.8219587867613347), 8077.708267922107 MeV, -1
[487], [0.0, 0.0, 0.0], (1, 0.9202745353012922, 2.450701498833812), 17533.798013011576 MeV, 1
[488], [0.0, 0.0, 0.0], (1, 0.19840804501906995, 2.7928359240537697), 18540.022372115942 MeV, -1
[489], [0.0, 0.0, 0.0], (1, 2.5850023052335995, 1.9910853209987678), 3515.2602933074477 MeV, 1
[490], [0.0, 0.0, 0.0], (1, 4.915687696972471, 2.787314931876639), 406.91622842466757 MeV, -1
[491], [0.0, 0.0, 0.0], (1, 4.9429497968855465, 2.400165566734775), 698.8826858715234 MeV, 1
[492], [0.0, 0.0, 0.0], (1, 1.583493857428941, 2.6119628223581306), 248.40032705537786 MeV, 1
[493], [0.0, 0.0, 0.0], (1, 0.4393158536347208, 2.665733935138615), 2532.587800291483 MeV, -1
